FOURNISSEURS,LIBELLE,PU,TVA,DP
COFARMA,ABLEPT 300MG GELU/30,25900.0,0,2026-12-01 00:00:00
COFARMA,ABUFENE 400MG CPR/30       ,74500.0,0,2026-08-01 00:00:00
COFARMA,ACARILBIAL SOL EXT FL/200ML,14395.0,0,2028-10-01 00:00:00
COFARMA,ACCU CHEK INSTANT KIT LECT GLYC MG/DL *,88000.0,0,2024-12-01 00:00:00
COFARMA,ACCU CHEK SOFTCLIX KIT AUTOPIQ,43000.0,0,2026-02-01 00:00:00
COFARMA,ACCU CHEK SOFTCLIX KIT AUTOPIQ *,38900.0,0,2025-01-01 00:00:00
COFARMA,ACCUMULATEUR DE FROID (CONSIGNATION) *,20000.0,1,2150-01-01 00:00:00
COFARMA,ACTIFED JOUR/NUIT FORM MOD CPR/16,41100.0,0,2025-11-01 00:00:00
COFARMA,ACTINAC 100MG CPR/10,7325.0,0,2026-06-01 00:00:00
COFARMA,ACTINAC 100MG CPR/30,14690.0,0,2026-06-01 00:00:00
COFARMA,ACTINAC LP 200MG CPR B/10,18200.0,0,2025-08-01 00:00:00
COFARMA,ACTINAC PLUS 100MG/500MG CPR/10,10800.0,0,2026-06-01 00:00:00
COFARMA,ACTINAC PLUS 100MG/500MG CPR/20,14815.0,0,2026-03-01 00:00:00
COFARMA,ACTISOUFRE BUV/NAS  AMP/30,47100.0,0,2025-10-01 00:00:00
COFARMA,ACTIVIR 5% CREM TBE/2G,45000.0,0,2026-06-01 00:00:00
COFARMA,ACUPAN 2ML SOL INJ AMP/5,19250.0,0,2026-06-01 00:00:00
COFARMA,ACYCLOVIR DENK 200MG CPR/25,47820.0,0,2027-11-01 00:00:00
COFARMA,ADENURIC 80MG CPR/28,105000.0,0,2025-08-01 00:00:00
COFARMA,ADVIL 200MG CPR/20         ,7000.0,0,2026-04-01 00:00:00
COFARMA,ADVILMED 400MG CPR/20         ,12685.0,0,2026-03-01 00:00:00
COFARMA,ADVILMED 5% GEL TBE/100G,21900.0,0,2026-09-01 00:00:00
COFARMA,AERIUS 5MG CPR/ 7,15700.0,0,2025-08-01 00:00:00
COFARMA,AERIUS 5MG CPR/15          ,29350.0,0,2025-08-01 00:00:00
COFARMA,AERIUS SP S/SUC FL/60ML        ,20200.0,0,2025-11-01 00:00:00
COFARMA,AGYRAX 25MG CPR/15         ,11550.0,0,2026-07-01 00:00:00
COFARMA,AIGUILLE RETROBULBAIRE ATKINSON 23G B10 *,4090.0,1,2150-01-01 00:00:00
COFARMA,ALCOOL 70 FL /500ML HOMEOP *,8800.0,0,2027-06-01 00:00:00
COFARMA,ALCOOL 70 FL/1L HOMEOP *,16950.0,0,2026-10-01 00:00:00
COFARMA,ALCOOL 90 FL /500ML HOMEOP *,9450.0,0,2027-07-01 00:00:00
COFARMA,ALCOOL 90 FL/1L *,20625.0,0,2026-07-01 00:00:00
COFARMA,ALCOOL IODE SALICYLE 125ml *,4790.0,0,2026-02-01 00:00:00
COFARMA,ALFUZOSINE LP BIOGARAN 10MG CPR/30,62680.0,0,2025-12-01 00:00:00
COFARMA,ALKASELTZER CPR EFF/20     ,39970.0,0,2026-11-01 00:00:00
COFARMA,"ALLERGIFLASH 0,05% 0,3ML CY UNIDOSE/10 *",31120.0,0,2025-02-01 00:00:00
COFARMA,"ALLERGODIL 0,05% CY  FL/ 6ML    ",18750.0,0,2026-09-01 00:00:00
COFARMA,ALLERZINE SUSP BUV FL/100ML *,9600.0,0,2027-02-01 00:00:00
COFARMA,ALLOPURINOL BASI-IKYNOL 100MG CPR/60,13500.0,0,2026-09-01 00:00:00
COFARMA,ALLOPURINOL BASI-IKYNOL 300MG CPR/60,22750.0,0,2026-06-01 00:00:00
COFARMA,ALODONT SOL BAIN BOUCH FL/200ML,37000.0,1,2026-02-01 00:00:00
COFARMA,ALOE CREME VISAGE TBE/40ML HOMEOP *,9800.0,1,2025-06-01 00:00:00
COFARMA,ALOE LAIT DEMAQUILLANT FL/150ML HOMEOP *,9750.0,1,2025-07-01 00:00:00
COFARMA,"ALPHAGAN 0,2% CY FL/5ML       ",38695.0,0,2026-09-01 00:00:00
COFARMA,"ALPRESS LP 2,5MG CPR/30    ",59850.0,0,2026-02-01 00:00:00
COFARMA,ALPRESS LP 5MG   CPR/30          *,79900.0,0,2024-11-01 00:00:00
COFARMA,ALVITYL APPETIT SP FL/100ML,20870.0,1,2026-04-01 00:00:00
COFARMA,ALVITYL CPR EFF/10,12500.0,1,2026-09-01 00:00:00
COFARMA,ALVITYL CPR EFF/2X15,23000.0,1,2026-05-01 00:00:00
COFARMA,ALVITYL PLUS CPR/40,21600.0,1,2026-01-01 00:00:00
COFARMA,ALVITYL SP AER NF FL/150ML,19595.0,1,2025-08-01 00:00:00
